MSE,MAE,RMSE,MAPE,R2,Accuracy,F1,Stock,Model
0.0068436292931437,0.0711161270737648,0.0827262309859681,337.91630268096924,-2.029582262039185,0.3187919463087248,0.3976261127596439,2890,LSTM
0.0012852972140535,0.0279722921550273,0.0358510420218655,269.91333961486816,-0.7869515419006348,0.5369127516778524,0.6515151515151515,5880,LSTM
0.0058968900702893,0.0622766613960266,0.0767912108921937,194.3910360336304,-0.1666867733001709,0.4966442953020134,0.4966442953020134,2883,LSTM
0.0195607878267765,0.1077640429139137,0.1398598864105663,349.53691959381104,-3.5088438987731934,0.4026845637583892,0.288,2887,LSTM
0.0065630893222987,0.0570000261068344,0.0810128960246377,169.3407416343689,-0.6541346311569214,0.6946308724832215,0.7868852459016393,2885,LSTM
0.0078660482540726,0.0696241483092308,0.0886907450305423,210.07680892944336,-0.7368836402893066,0.5536912751677853,0.3316582914572864,5871,LSTM
0.0089408997446298,0.0767640173435211,0.0945563310658247,300.3800392150879,-3.3062338829040527,0.2953020134228188,0.2164179104477611,2880,LSTM
0.0029938933439552,0.0441502444446086,0.0547164814654166,342.2923803329468,-1.0991203784942627,0.5033557046979866,0.5771428571428572,5876,LSTM
0.0012978361919522,0.0296461079269647,0.0360254936392581,256.198787689209,-2.292222499847412,0.4798657718120805,0.392156862745098,2412,LSTM
0.0042860093526542,0.05320680513978,0.0654676206429882,375.78158378601074,-4.88451623916626,0.5503355704697986,0.6778846153846154,3045,LSTM
0.014201445505023,0.1067950278520584,0.1191698179281272,704.191255569458,-8.073272705078125,0.3456375838926174,0.0101522842639593,4904,LSTM
0.0171891190111637,0.0961269438266754,0.1311072805421717,266.0899877548218,-0.6686980724334717,0.4798657718120805,0.3673469387755102,3231,LSTM
0.0127305360510945,0.0883118882775306,0.1128296771735811,205.810809135437,-0.3379703760147095,0.5100671140939598,0.5989010989010989,2357,LSTM
0.033485572785139,0.1481470763683319,0.182990635785384,203.46040725708008,-0.354077935218811,0.5536912751677853,0.6970387243735763,2059,LSTM
